Order_ID,Date,Customer_ID,Gender,Age,City,Region,Store,Category,Product,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Mode,Customer_Rating,Delivery_Days
ORD100023,2024-01-09,CUST1103,Female,50,Bengaluru,South,Store A,Grocery,Cooking Oil,4,511.56,0.147,1745.44,1520.0,225.44,Net Banking,4.3,1.0
ORD100024,2024-01-09,CUST1328,Male,28,Mumbai,West,Online,Electronics,Tablet,5,32389.86,0.222,125996.56,94119.67,31876.89,Credit Card,3.8,4.0
ORD100025,2024-01-09,CUST1246,Female,34,Guntur,South,Store C,Electronics,Smartwatch,3,17319.99,0.234,39801.34,30306.77,9494.57,Debit Card,5.0,6.0
ORD100026,2024-01-10,CUST1058,Female,25,Vijayawada,South,Store C,Home & Kitchen,Lamp,2,2877.33,0.013,5679.85,3911.5,1768.35,Net Banking,4.4,4.0
ORD100027,2024-01-10,CUST1105,Female,35,Hyderabad,South,Online,Home & Kitchen,Mixer,2,4002.55,0.125,7004.46,4706.49,2297.97,Debit Card,4.7,2.0
ORD100028,2024-01-10,CUST1069,Female,19,Chennai,South,Online,Clothing,Dress,2,2406.05,0.094,4359.76,2711.35,1648.41,Cash,3.7,5.0
ORD100029,2024-01-11,CUST1302,Female,30,Visakhapatnam,South,Store D,Grocery,Snacks,6,276.02,0.156,1397.77,1193.1,204.67,Cash,4.6,6.0
ORD100030,2024-01-11,CUST1153,Male,19,Bengaluru,South,Online,Grocery,Rice,7,474.68,0.198,2664.85,2320.86,343.99,UPI,3.8,1.0
ORD100031,2024-01-11,CUST1537,Male,43,Mumbai,West,Store B,Home & Kitchen,Mixer,3,3783.13,0.07,10554.93,7207.76,3347.18,Debit Card,4.1,3.0
ORD100032,2024-01-12,CUST1035,Male,43,Pune,West,Store B,Grocery,Snacks,1,484.69,0.139,417.32,359.26,58.06,Debit Card,4.9,3.0
ORD100033,2024-01-12,CUST1015,Female,18,Chennai,South,Store C,Grocery,Rice,2,128.48,0.177,211.48,186.97,24.51,UPI,3.4,7.0
ORD100034,2024-01-13,CUST1106,Female,50,Guntur,South,Store D,Electronics,Smartwatch,1,28507.63,0.034,27538.37,21178.67,6359.7,Cash,4.1,2.0
ORD100035,2024-01-13,CUST1074,Female,62,Bengaluru,South,Store D,Home & Kitchen,Lamp,3,5019.34,0.204,11986.18,8049.32,3936.86,Cash,4.2,3.0
ORD100036,2024-01-13,CUST1285,Female,36,Mumbai,West,Store B,Beauty,Face Wash,6,1240.83,0.152,6313.34,4034.29,2279.05,Net Banking,4.3,2.0
ORD100037,2024-01-14,CUST1550,Male,28,Visakhapatnam,South,Store A,Home & Kitchen,Chair,3,2468.89,0.237,5651.29,3837.63,1813.66,Net Banking,3.8,5.0
ORD100038,2024-01-14,CUST1197,Male,66,Visakhapatnam,South,Store D,Beauty,Shampoo,5,1020.41,0.085,4668.38,2992.08,1676.3,Cash,5.0,7.0
ORD100039,2024-01-14,CUST1280,Male,20,Pune,West,Store A,Electronics,Smartwatch,7,37389.39,0.027,254659.14,202335.67,52323.47,Credit Card,3.3,2.0
ORD100040,2024-01-15,CUST1556,Male,35,Hyderabad,South,Store D,Clothing,Shoes,2,2254.98,0.127,3937.2,2457.36,1479.84,Debit Card,4.8,4.0
ORD100041,2024-01-15,CUST1153,Male,37,Pune,West,Store D,Grocery,Coffee,6,596.0,0.021,3500.9,2900.44,600.46,Net Banking,4.7,4.0
ORD100042,2024-01-15,CUST1291,Male,50,Guntur,South,Store D,Electronics,Headphones,5,27494.89,0.242,104205.63,78422.5,25783.13,Credit Card,5.0,7.0
ORD100043,2024-01-16,CUST1142,Female,39,Bengaluru,South,Online,Grocery,Juice,2,400.83,0.01,793.64,658.79,134.85,Net Banking,3.1,4.0
ORD100044,2024-01-16,CUST1312,Female,30,Bengaluru,South,Online,Clothing,Jeans,3,1699.71,0.188,4140.49,2551.87,1588.63,UPI,3.5,6.0
ORD100045,2024-01-17,CUST1032,Male,25,Vijayawada,South,Store C,Clothing,Jacket,3,1761.04,0.131,4591.03,2744.62,1846.41,Debit Card,4.8,4.0
ORD100046,2024-01-17,CUST1026,Female,31,Hyderabad,South,Online,Electronics,Smartwatch,4,28847.02,0.092,104772.38,78377.77,26394.61,Net Banking,3.0,4.0
ORD100047,2024-01-17,CUST1255,Male,24,Hyderabad,South,Store D,Clothing,Shoes,4,2554.46,0.016,10054.35,6063.06,3991.29,Cash,3.1,4.0
ORD100048,2024-01-18,CUST1056,Male,36,Bengaluru,South,Store B,Beauty,Shampoo,3,1591.42,0.156,4029.48,2596.7,1432.78,UPI,3.7,4.0
ORD100049,2024-01-18,CUST1293,Female,29,Bengaluru,South,Store A,Clothing,Jacket,3,1090.31,0.146,2793.37,1731.91,1061.47,UPI,4.1,6.0
ORD100050,2024-01-18,CUST1230,Male,19,Chennai,South,Store B,Grocery,Cooking Oil,1,533.6,0.07,496.25,429.1,67.15,Cash,4.9,4.0
ORD100051,2024-01-19,CUST1053,Male,49,Mumbai,West,Store C,Grocery,Coffee,7,610.51,0.228,3299.2,2831.97,467.23,UPI,3.9,4.0
ORD100052,2024-01-19,CUST1101,Male,30,Chennai,South,Store D,Grocery,Cooking Oil,1,592.83,0.076,547.77,459.26,88.51,Debit Card,3.7,5.0
ORD100053,2024-01-19,CUST1467,Female,21,Chennai,South,Online,Grocery,Rice,7,405.61,0.112,2521.27,2188.34,332.94,Net Banking,4.2,6.0
ORD100054,2024-01-20,CUST1267,Female,33,Hyderabad,South,Store B,Beauty,Perfume,5,2219.94,0.136,9590.14,6350.05,3240.09,UPI,4.3,4.0
ORD100055,2024-01-20,CUST1002,Female,36,Vijayawada,South,Store A,Home & Kitchen,Cookware Set,4,2222.92,0.025,8669.39,5938.61,2730.78,Debit Card,4.2,2.0
ORD100056,2024-01-21,CUST1022,Female,18,Visakhapatnam,South,Online,Electronics,Smartwatch,4,17417.68,0.233,53437.44,40301.09,13136.35,Cash,3.9,7.0
ORD100057,2024-01-21,CUST1578,Male,39,Chennai,South,Store A,Grocery,Coffee,3,535.04,0.094,1454.24,1218.5,235.74,Net Banking,2.9,5.0
ORD100058,2024-01-21,CUST1212,Female,23,Vijayawada,South,Store C,Clothing,Jeans,3,2858.4,0.02,8403.7,5125.13,3278.57,Cash,3.5,6.0
ORD100059,2024-01-22,CUST1236,Female,54,Pune,West,Store D,Grocery,Coffee,5,374.57,0.097,1691.18,1466.28,224.91,Net Banking,4.8,3.0
ORD100060,2024-01-22,CUST1529,Female,41,Guntur,South,Store D,Clothing,Shoes,6,1667.09,0.15,8502.16,5373.16,3129.0,UPI,4.1,1.0
ORD100061,2024-01-22,CUST1388,Male,31,Chennai,South,Store A,Clothing,Shoes,6,2338.65,0.128,12235.82,7621.83,4613.99,UPI,3.8,6.0
ORD100062,2024-01-23,CUST1014,Female,27,Pune,West,Store A,Grocery,Juice,6,497.32,0.174,2464.72,2150.18,314.54,Net Banking,4.6,7.0
ORD100063,2024-01-23,CUST1519,Female,34,Visakhapatnam,South,Store A,Beauty,Face Wash,4,1082.89,0.014,4270.92,2768.21,1502.71,Debit Card,3.4,5.0
ORD100064,2024-01-24,CUST1222,Male,42,Guntur,South,Store D,Clothing,Jeans,1,2082.82,0.071,1934.94,1210.6,724.34,Debit Card,3.9,4.0
ORD100065,2024-01-24,CUST1403,Male,35,Guntur,South,Store D,Clothing,T-Shirt,6,1936.26,0.205,9235.96,5658.42,3577.54,Debit Card,4.1,5.0
ORD100066,2024-01-24,CUST1513,Male,33,Visakhapatnam,South,Store B,Grocery,Coffee,2,654.57,0.02,1282.96,1106.8,176.16,Credit Card,,1.0
ORD100067,2024-01-25,CUST1287,Male,36,Chennai,South,Store D,Clothing,T-Shirt,5,2445.73,0.214,9611.72,5868.26,3743.46,Debit Card,4.1,1.0
ORD100068,2024-01-25,CUST1384,Female,28,Hyderabad,South,Online,Clothing,Dress,6,1953.5,0.023,11451.42,7102.11,4349.31,UPI,3.9,6.0
ORD100069,2024-01-25,CUST1247,Male,31,Visakhapatnam,South,Store A,Grocery,Coffee,2,543.76,0.209,860.23,744.2,116.03,Credit Card,3.2,4.0
ORD100070,2024-01-26,CUST1091,Female,18,Visakhapatnam,South,Store C,Grocery,Snacks,6,532.12,0.09,2905.38,2574.13,331.25,Debit Card,4.1,4.0
ORD100071,2024-01-26,CUST1312,Female,46,Visakhapatnam,South,Store D,Electronics,Tablet,1,28423.91,0.153,24075.05,17865.68,6209.37,UPI,3.3,2.0
ORD100072,2024-01-26,CUST1437,Female,38,Guntur,South,Store B,Beauty,Moisturizer,1,1219.31,0.038,1172.98,757.21,415.76,Credit Card,4.1,1.0
ORD100073,2024-01-27,CUST1043,Female,26,Mumbai,West,Store B,Beauty,Perfume,6,1199.79,0.017,7076.36,4649.62,2426.74,UPI,4.8,4.0
ORD100074,2024-01-27,CUST1074,Female,56,Vijayawada,South,Store D,Clothing,Shoes,2,2398.31,0.054,4537.6,2851.74,1685.86,Net Banking,3.8,1.0
ORD100075,2024-01-28,CUST1561,Male,36,Pune,West,Online,Beauty,Moisturizer,5,1730.64,0.032,8376.3,5441.21,2935.09,UPI,,2.0
ORD100076,2024-01-28,CUST1316,Female,24,Hyderabad,South,Online,Clothing,Dress,2,1046.22,0.078,1929.23,1208.78,720.45,Credit Card,3.9,3.0
ORD100077,2024-01-28,CUST1144,Female,44,Chennai,South,Store D,Electronics,Laptop,5,25070.15,0.129,109180.5,84916.36,24264.14,Debit Card,3.5,1.0
ORD100078,2024-01-29,CUST1329,Female,39,Chennai,South,Online,Grocery,Rice,6,396.7,0.147,2030.31,1711.89,318.42,Credit Card,4.3,2.0
ORD100079,2024-01-29,CUST1209,Male,39,Pune,West,Store C,Grocery,Juice,5,453.35,0.197,1820.2,1526.32,293.88,Debit Card,3.9,2.0
ORD100080,2024-01-29,CUST1099,Female,30,Vijayawada,South,Store D,Grocery,Coffee,3,560.38,0.164,1405.43,1208.53,196.9,Debit Card,4.9,7.0
ORD100081,2024-01-30,CUST1114,Female,40,Visakhapatnam,South,Store C,Beauty,Shampoo,4,1434.3,0.152,4865.15,2992.57,1872.58,Cash,4.6,2.0
ORD100082,2024-01-30,CUST1175,Male,32,Mumbai,West,Store B,Electronics,Laptop,7,24215.11,0.103,152046.68,118115.21,33931.46,Net Banking,3.9,5.0
ORD100083,2024-01-30,CUST1271,Female,41,Hyderabad,South,Store D,Beauty,Lip Balm,4,530.33,0.118,1871.0,1223.75,647.25,Cash,4.4,6.0
ORD100084,2024-01-31,CUST1063,Female,18,Chennai,South,Store D,Beauty,Moisturizer,1,862.23,0.104,772.56,490.58,281.98,Credit Card,3.8,4.0
ORD100085,2024-01-31,CUST1404,Male,30,Pune,West,Store B,Electronics,Smartwatch,3,31275.5,0.211,74029.11,55886.64,18142.47,Cash,4.0,1.0
ORD100086,2024-02-01,CUST1225,Female,54,Bengaluru,South,Online,Electronics,Smartphone,4,5817.02,0.058,21918.53,16636.39,5282.14,Debit Card,3.8,6.0
ORD100087,2024-02-01,CUST1161,Female,27,Mumbai,West,Store A,Electronics,Tablet,6,33311.99,0.001,199672.07,151892.87,47779.2,Credit Card,4.4,5.0
ORD100088,2024-02-01,CUST1036,Female,28,Pune,West,Store B,Electronics,Smartwatch,5,28648.61,0.163,119894.43,91328.35,28566.08,Cash,4.8,1.0
ORD100089,2024-02-02,CUST1381,Female,30,Mumbai,West,Store A,Grocery,Rice,5,697.43,0.051,3309.31,2874.6,434.71,UPI,4.4,6.0
ORD100090,2024-02-02,CUST1318,Female,22,Chennai,South,Online,Home & Kitchen,Cookware Set,2,3301.43,0.223,5130.42,3477.85,1652.58,Net Banking,,5.0
ORD100091,2024-02-02,CUST1456,Male,18,Visakhapatnam,South,Store D,Home & Kitchen,Lamp,2,1438.59,0.215,2258.59,1561.91,696.67,UPI,4.5,4.0
ORD100092,2024-02-03,CUST1269,Male,32,Bengaluru,South,Store B,Electronics,Smartphone,5,28012.54,0.019,137401.51,105263.37,32138.14,Credit Card,4.3,2.0
ORD100093,2024-02-03,CUST1344,Male,36,Vijayawada,South,Store D,Home & Kitchen,Mixer,6,4774.65,0.027,27874.41,18747.51,9126.9,Cash,3.4,6.0
ORD100094,2024-02-03,CUST1040,Female,34,Hyderabad,South,Store C,Home & Kitchen,Lamp,5,4424.72,0.124,19380.27,13495.29,5884.98,Debit Card,4.9,6.0
ORD100095,2024-02-04,CUST1414,Female,33,Vijayawada,South,Online,Electronics,Smartphone,2,20361.16,0.152,34532.53,25603.07,8929.45,Cash,5.0,1.0
ORD100096,2024-02-04,CUST1380,Female,35,Vijayawada,South,Store C,Home & Kitchen,Bedsheet,4,3586.76,0.069,13357.09,9067.76,4289.34,Credit Card,3.9,2.0
ORD100097,2024-02-05,CUST1222,Male,46,Pune,West,Store C,Beauty,Face Wash,1,1013.51,0.179,832.09,541.81,290.28,Credit Card,3.8,7.0
ORD100098,2024-02-05,CUST1281,Female,33,Mumbai,West,Online,Clothing,T-Shirt,2,1390.37,0.149,2366.41,1448.08,918.33,Credit Card,4.3,4.0
ORD100099,2024-02-05,CUST1225,Female,29,Hyderabad,South,Store B,Clothing,T-Shirt,6,2277.69,0.081,12559.18,7830.08,4729.1,Credit Card,4.3,1.0
ORD100100,2024-02-06,CUST1457,Female,32,Hyderabad,South,Store A,Electronics,Headphones,4,16617.27,0.006,66070.27,50704.49,15365.77,Cash,3.9,3.0
ORD100101,2024-02-06,CUST1154,Male,41,Chennai,South,Store D,Grocery,Snacks,4,365.93,0.188,1188.54,1006.31,182.23,UPI,3.3,3.0
ORD100102,2024-02-06,CUST1280,Male,51,Chennai,South,Online,Electronics,Smartwatch,4,17271.82,0.054,65356.57,49606.19,15750.38,Debit Card,4.2,3.0
ORD100103,2024-02-07,CUST1353,Female,28,Hyderabad,South,Store C,Grocery,Cooking Oil,3,276.46,0.209,656.04,562.6,93.43,Debit Card,4.3,4.0
ORD100104,2024-02-07,CUST1039,Female,36,Bengaluru,South,Store A,Clothing,Dress,3,1873.21,0.105,5029.57,3087.36,1942.21,Net Banking,4.4,3.0
ORD100105,2024-02-07,CUST1573,Female,39,Guntur,South,Store B,Electronics,Smartphone,7,33130.52,0.144,198518.08,157124.46,41393.62,Credit Card,4.2,6.0
ORD100106,2024-02-08,CUST1489,Male,24,Chennai,South,Store C,Beauty,Perfume,4,1135.29,0.218,3551.19,2241.54,1309.65,Credit Card,3.9,7.0
ORD100107,2024-02-08,CUST1198,Male,35,Guntur,South,Store A,Home & Kitchen,Bedsheet,6,1994.25,0.216,9380.95,6494.44,2886.52,Credit Card,4.5,1.0
ORD100108,2024-02-09,CUST1276,Male,19,Pune,West,Store D,Grocery,Coffee,5,625.99,0.093,2838.86,2424.16,414.7,UPI,4.0,7.0
ORD100109,2024-02-09,CUST1172,Female,18,Bengaluru,South,Online,Home & Kitchen,Lamp,6,5185.7,0.052,29496.26,19665.15,9831.12,Credit Card,3.7,7.0
ORD100110,2024-02-09,CUST1508,Male,39,Hyderabad,South,Store C,Home & Kitchen,Chair,3,2853.76,0.194,6900.39,4700.95,2199.44,Net Banking,3.9,7.0
ORD100111,2024-02-10,CUST1405,Female,31,Bengaluru,South,Store B,Electronics,Smartphone,2,21650.12,0.108,38623.81,29697.06,8926.75,Net Banking,3.0,6.0
ORD100112,2024-02-10,CUST1271,Female,37,Chennai,South,Store C,Home & Kitchen,Chair,7,4015.66,0.048,26760.36,18498.55,8261.8,UPI,3.9,3.0
ORD100113,2024-02-10,CUST1554,Male,35,Vijayawada,South,Store A,Beauty,Face Wash,3,1767.66,0.226,4104.51,2700.75,1403.75,Credit Card,4.4,7.0
ORD100114,2024-02-11,CUST1131,Female,24,Pune,West,Online,Home & Kitchen,Cookware Set,5,2980.17,0.05,14155.81,10136.26,4019.54,Cash,4.2,7.0
ORD100115,2024-02-11,CUST1385,Male,35,Hyderabad,South,Store C,Electronics,Smartphone,1,15672.85,0.006,15578.81,11893.29,3685.53,Cash,4.8,1.0
ORD100116,2024-02-11,CUST1397,Female,21,Visakhapatnam,South,Store C,Beauty,Lip Balm,7,1421.0,0.005,9897.26,6258.65,3638.62,Debit Card,3.9,6.0
ORD100117,2024-02-12,CUST1566,Female,50,Pune,West,Store D,Clothing,Jacket,3,2199.53,0.156,5569.21,3481.06,2088.15,UPI,4.3,4.0
ORD100118,2024-02-12,CUST1296,Male,20,Mumbai,West,Store C,Home & Kitchen,Cookware Set,6,3506.13,0.165,17565.71,11887.45,5678.26,Cash,4.4,2.0
ORD100119,2024-02-13,CUST1383,Female,33,Guntur,South,Store D,Electronics,Headphones,7,21093.07,0.078,136134.67,105186.8,30947.87,Debit Card,5.0,6.0
ORD100120,2024-02-13,CUST1512,Female,24,Bengaluru,South,Store A,Clothing,Dress,6,2297.19,0.08,12680.49,7678.34,5002.15,Net Banking,4.1,5.0
ORD100121,2024-02-13,CUST1395,Female,41,Hyderabad,South,Online,Clothing,T-Shirt,4,2064.02,0.085,7554.31,4883.34,2670.97,Debit Card,3.4,3.0
ORD100122,2024-02-14,CUST1554,Female,31,Pune,West,Online,Grocery,Juice,4,384.73,0.17,1277.3,1115.41,161.9,Credit Card,4.5,5.0
ORD100123,2024-02-14,CUST1260,Female,29,Bengaluru,South,Store D,Beauty,Perfume,4,1217.18,0.015,4795.69,2976.21,1819.48,Credit Card,5.0,2.0
ORD100124,2024-02-14,CUST1281,Female,44,Hyderabad,South,Online,Home & Kitchen,Cookware Set,7,2148.29,0.232,11549.21,7753.23,3795.98,Net Banking,3.8,4.0
ORD100125,2024-02-15,CUST1356,Female,35,Chennai,South,Store A,Electronics,Headphones,1,29801.23,0.056,28132.36,21694.66,6437.7,UPI,4.5,6.0
ORD100126,2024-02-15,CUST1420,Female,41,Pune,West,Store C,Grocery,Cooking Oil,5,460.66,0.25,1727.48,1517.09,210.39,Credit Card,4.7,4.0
ORD100127,2024-02-16,CUST1192,Male,24,Chennai,South,Store D,Beauty,Perfume,7,1047.5,0.043,7017.2,4388.16,2629.04,Credit Card,4.6,2.0
ORD100128,2024-02-16,CUST1428,Male,20,Pune,West,Store D,Grocery,Cooking Oil,2,495.07,0.193,799.04,696.0,103.05,Debit Card,4.1,5.0
ORD100129,2024-02-16,CUST1348,Female,36,Chennai,South,Store C,Beauty,Moisturizer,6,1214.11,0.056,6876.72,4246.83,2629.89,Debit Card,3.6,6.0
ORD100130,2024-02-17,CUST1429,Female,31,Mumbai,West,Store B,Beauty,Shampoo,6,1513.23,0.02,8897.79,5685.43,3212.36,Debit Card,4.0,3.0
ORD100131,2024-02-17,CUST1392,Male,42,Bengaluru,South,Store A,Home & Kitchen,Cookware Set,7,4091.09,0.219,22365.99,15513.31,6852.68,Cash,4.3,1.0
ORD100132,2024-02-17,CUST1341,Female,34,Visakhapatnam,South,Store C,Beauty,Face Wash,7,1145.26,0.215,6293.2,3987.67,2305.54,Net Banking,4.5,7.0
ORD100133,2024-02-18,CUST1547,Male,37,Pune,West,Store A,Grocery,Cooking Oil,5,614.55,0.101,2762.4,2311.23,451.18,UPI,4.2,4.0
ORD100134,2024-02-18,CUST1402,Male,18,Mumbai,West,Online,Beauty,Face Wash,1,1340.26,0.176,1104.37,708.66,395.71,Debit Card,3.8,2.0
ORD100135,2024-02-18,CUST1047,Male,56,Pune,West,Store B,Home & Kitchen,Lamp,7,3073.4,0.139,18523.38,12458.79,6064.59,UPI,4.3,6.0
ORD100136,2024-02-19,CUST1425,Female,33,Chennai,South,Store A,Home & Kitchen,Mixer,4,3375.28,0.213,10625.38,7307.14,3318.25,Debit Card,4.5,5.0
ORD100137,2024-02-19,CUST1517,Female,43,Hyderabad,South,Store D,Grocery,Coffee,5,477.77,0.079,2200.13,1861.96,338.17,Credit Card,4.2,3.0
ORD100138,2024-02-20,CUST1328,Female,26,Pune,West,Store D,Clothing,T-Shirt,2,2052.63,0.131,3567.47,2181.07,1386.4,UPI,3.5,5.0
ORD100139,2024-02-20,CUST1087,Male,38,Mumbai,West,Online,Clothing,Shoes,4,1616.49,0.121,5683.58,3395.63,2287.95,Cash,3.9,3.0
ORD100140,2024-02-20,CUST1515,Male,21,Chennai,South,Store D,Beauty,Moisturizer,2,1063.36,0.088,1939.57,1245.12,694.45,Debit Card,4.5,6.0
ORD100141,2024-02-21,CUST1165,Male,40,Vijayawada,South,Store B,Electronics,Headphones,3,38781.3,0.223,90399.21,68504.41,21894.8,Net Banking,3.2,1.0
ORD100142,2024-02-21,CUST1223,Female,31,Chennai,South,Online,Beauty,Perfume,2,1528.91,0.041,2932.45,1836.62,1095.83,Credit Card,2.8,1.0
ORD100143,2024-02-21,CUST1297,Male,35,Bengaluru,South,Store D,Grocery,Rice,4,385.91,0.037,1486.53,1282.87,203.65,Debit Card,4.8,7.0
ORD100144,2024-02-22,CUST1451,Male,43,Visakhapatnam,South,Store A,Grocery,Rice,3,585.64,0.144,1503.92,1317.29,186.64,UPI,4.3,2.0
ORD100145,2024-02-22,CUST1343,Female,21,Vijayawada,South,Store D,Grocery,Juice,4,517.75,0.164,1731.36,1483.19,248.17,Debit Card,4.3,2.0
ORD100146,2024-02-22,CUST1341,Male,27,Bengaluru,South,Online,Grocery,Juice,6,558.73,0.049,3188.11,2755.01,433.1,Credit Card,3.4,3.0
ORD100147,2024-02-23,CUST1461,Male,40,Bengaluru,South,Store C,Grocery,Cooking Oil,4,520.6,0.098,1878.32,1623.31,255.02,Net Banking,4.4,3.0
ORD100148,2024-02-23,CUST1392,Female,58,Bengaluru,South,Store B,Home & Kitchen,Lamp,3,4689.64,0.237,10734.59,7141.28,3593.31,Net Banking,4.2,3.0
ORD100149,2024-02-24,CUST1537,Female,33,Hyderabad,South,Store A,Clothing,Jeans,2,1972.81,0.062,3700.99,2379.56,1321.43,Net Banking,3.1,3.0
ORD100150,2024-02-24,CUST1551,Male,42,Bengaluru,South,Store A,Grocery,Coffee,6,490.69,0.167,2452.47,2091.25,361.22,Credit Card,4.8,7.0
ORD100151,2024-02-24,CUST1421,Female,34,Hyderabad,South,Store C,Electronics,Laptop,1,32295.33,0.185,26320.69,20239.97,6080.72,Debit Card,4.1,6.0
ORD100152,2024-02-25,CUST1381,Male,56,Bengaluru,South,Store D,Electronics,Smartwatch,1,26633.0,0.112,23650.1,18222.95,5427.16,Credit Card,3.8,6.0
ORD100153,2024-02-25,CUST1005,Female,18,Guntur,South,Store A,Electronics,Tablet,1,25850.35,0.234,19801.37,15011.23,4790.14,Credit Card,3.8,1.0
ORD100154,2024-02-25,CUST1004,Male,36,Mumbai,West,Online,Electronics,Smartwatch,1,27198.16,0.184,22193.7,17051.44,5142.26,Debit Card,2.9,2.0
ORD100155,2024-02-26,CUST1316,Female,18,Vijayawada,South,Online,Home & Kitchen,Chair,5,3406.39,0.114,15090.31,10306.81,4783.49,Cash,4.3,7.0
ORD100156,2024-02-26,CUST1078,Male,18,Guntur,South,Store D,Electronics,Smartwatch,1,25064.59,0.142,21505.42,15927.06,5578.36,Net Banking,4.1,2.0
ORD100157,2024-02-26,CUST1531,Female,38,Bengaluru,South,Online,Grocery,Juice,3,412.0,0.173,1022.17,873.81,148.36,UPI,3.9,4.0
ORD100158,2024-02-27,CUST1355,Female,37,Vijayawada,South,Store A,Beauty,Moisturizer,7,937.09,0.148,5588.8,3537.4,2051.41,UPI,4.7,2.0
ORD100159,2024-02-27,CUST1033,Female,32,Vijayawada,South,Store C,Electronics,Smartphone,1,18010.01,0.22,14047.81,10587.6,3460.21,Debit Card,3.2,2.0
ORD100160,2024-02-28,CUST1139,Female,34,Pune,West,Store D,Home & Kitchen,Lamp,4,2108.02,0.089,7681.62,5100.9,2580.73,UPI,3.7,5.0
ORD100161,2024-02-28,CUST1272,Female,69,Visakhapatnam,South,Online,Home & Kitchen,Chair,7,2620.28,0.075,16966.31,11771.02,5195.3,Cash,3.5,5.0
